Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|001|1,5/4/2016 11:37,Batch,40.7,7.8254,108.9,3.74,6.534,0,6.787,1.43,7.315,341.22
01 CRT24,,JY-29-198|001|3,5/4/2016 11:37,Batch,40.7,7.8232,108.9,3.85,6.633,0,6.27,1.551,7.645,343.97
01 CRT24,,JY-29-198|001|5,5/4/2016 11:37,Batch,40.7,7.8375,110,3.85,6.765,0,6.006,1.54,7.997,347.27
01 CRT24,,JY-29-198|001|7,5/4/2016 11:37,Batch,40.7,7.8628,110,3.85,6.501,0,5.104,1.562,7.579,345.29
01 CRT24,,JY-29-198|001|9,5/4/2016 11:37,Batch,40.7,7.8705,110,3.96,6.875,0,6.93,1.562,7.777,347.93
01 CRT24,,JY-29-198|001|11,5/4/2016 11:37,Batch,40.7,7.898,108.9,3.85,6.655,0,6.853,1.529,7.711,343.97
01 CRT24,,JY-29-198|001|13,5/4/2016 11:37,Batch,40.7,7.9123,111.1,3.85,6.721,0,7.051,1.518,7.744,348.37
01 CRT24,,JY-29-198|001|15,5/4/2016 11:37,Batch,40.7,7.9101,111.1,3.85,6.479,0,6.919,1.562,7.777,347.6
01 CRT24,,JY-29-198|001|17,5/4/2016 11:37,Batch,40.7,7.9475,111.1,3.85,6.688,0,7.15,1.529,7.832,348.48
01 CRT24,,JY-29-198|001|19,5/4/2016 11:37,Batch,40.7,7.942,110,3.85,6.545,0,6.908,1.54,7.645,345.4
01 CRT24,,JY-29-198|001|21,5/4/2016 11:37,Batch,40.7,7.9673,110,3.85,7.249,0,6.897,1.573,7.975,350.24
