R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160912,1,Unknown,,0.1073061,729.19,,1.0977087,,,,9/2/2016,JY-29-198|004|1
160912,1,Unknown,,0.1253098,828.3,,1.0982147,,,,9/2/2016,JY-29-198|004|2
160912,1,Unknown,,0.1320528,865.48,,1.0983819,,,,9/2/2016,JY-29-198|004|3
160912,1,Unknown,,0.1168541,781.77,,1.0980299,,,,9/2/2016,JY-29-198|004|4
160912,1,Unknown,,0.1178144,787.05,,1.0981025,,,,9/2/2016,JY-29-198|004|5
160912,1,Unknown,,0.1270192,837.76,,1.0981069,,,,9/2/2016,JY-29-198|004|6
160912,1,Unknown,,0.1228359,814.66,,1.0972775,,,,9/2/2016,JY-29-198|004|7
160912,1,Unknown,,0.125752,830.72,,1.0981014,,,,9/2/2016,JY-29-198|004|8
160912,2,Unknown,,0.1177594,786.72,,1.0981201,,,,9/2/2016,JY-29-198|004|9
160912,2,Unknown,,0.123013,815.65,,1.0980684,,,,9/2/2016,JY-29-198|004|10
160912,2,Unknown,,0.1296427,852.17,,1.0982873,,,,9/2/2016,JY-29-198|004|11
160912,2,Unknown,,0.1245574,824.12,,1.0978825,,,,9/2/2016,JY-29-198|004|12
160912,2,Unknown,,0.1196536,797.17,,1.098251,,,,9/2/2016,JY-29-198|004|13
160912,2,Unknown,,0.1236829,819.39,,1.0974557,,,,9/2/2016,JY-29-198|004|14
160912,2,Unknown,,0.1278992,842.6,,1.0982103,,,,9/2/2016,JY-29-198|004|15
160912,2,Unknown,,0.1181719,789.03,,1.0974711,,,,9/2/2016,JY-29-198|004|16
160912,3,Unknown,,0.298782,1918.29,,1.0993664,,,,9/5/2016,JY-29-198|004|1
160912,3,Unknown,,0.2959396,1898.93,,1.0992828,,,,9/5/2016,JY-29-198|004|2
160912,3,Unknown,,0.4695823,3190.66,,1.0994324,,,,9/5/2016,JY-29-198|004|3
160912,3,Unknown,,0.2798972,1789.37,,1.098515,,,,9/5/2016,JY-29-198|004|4
160912,3,Unknown,,0.2917629,1870.33,,1.0987163,,,,9/5/2016,JY-29-198|004|5
160912,3,Unknown,,0.295339,1894.75,,1.0993785,,,,9/5/2016,JY-29-198|004|6
160912,3,Unknown,,0.3883759,2569.71,,1.0991915,,,,9/5/2016,JY-29-198|004|7
160912,3,Unknown,,0.2799786,1789.92,,1.0994093,,,,9/5/2016,JY-29-198|004|8
160912,4,Unknown,,0.3074401,1977.47,,1.0988428,,,,9/5/2016,JY-29-198|004|9
160912,4,Unknown,,0.2885707,1848.55,,1.0992333,,,,9/5/2016,JY-29-198|004|10
160912,4,Unknown,,0.3072817,1976.37,,1.0983082,,,,9/5/2016,JY-29-198|004|11
160912,4,Unknown,,0.2750649,1756.26,,1.0986701,,,,9/5/2016,JY-29-198|004|12
160912,4,Unknown,,0.2866545,1835.46,,1.0962402,,,,9/5/2016,JY-29-198|004|13
160912,4,Unknown,,0.2881439,1845.69,,1.0986107,,,,9/5/2016,JY-29-198|004|14
160912,4,Unknown,,0.291863,1870.99,,1.0988142,,,,9/5/2016,JY-29-198|004|15
160912,4,Unknown,,0.2795221,1786.73,,1.0990364,,,,9/5/2016,JY-29-198|004|16
