R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,Sample Date,Project ID,,Sample Date,Project ID
160510,1,Unknown,,0.134948,881.43,,1.0981982,,,,5/6/2016,JY-29-198|001|1
160510,1,Unknown,,0.1284646,845.68,,1.0980365,,,,5/6/2016,JY-29-198|001|2
160510,1,Unknown,,0.1243715,823.13,,1.0977065,,,,5/6/2016,JY-29-198|001|3
160510,1,Unknown,,0.1277595,841.83,,1.0977901,,,,5/6/2016,JY-29-198|001|4
160510,1,Unknown,,0.1277386,841.72,,1.0981036,,,,5/6/2016,JY-29-198|001|5
160510,1,Unknown,,0.1298781,853.49,,1.0981498,,,,5/6/2016,JY-29-198|001|6
160510,1,Unknown,,0.1335169,873.51,,1.0982906,,,,5/6/2016,JY-29-198|001|7
160510,1,Unknown,,0.1253274,828.41,,1.098064,,,,5/6/2016,JY-29-198|001|8
160510,2,Unknown,,0.1046573,714.67,,1.0977318,,,,5/6/2016,JY-29-198|001|9
160510,2,Unknown,,0.1215621,807.73,,1.0978066,,,,5/6/2016,JY-29-198|001|10
160510,2,Unknown,,0.1219416,809.82,,1.0977747,,,,5/6/2016,JY-29-198|001|11
160510,2,Unknown,,0.1064987,724.79,,1.0975657,,,,5/6/2016,JY-29-198|001|12
160510,2,Unknown,,0.1306074,857.45,,1.0980475,,,,5/6/2016,JY-29-198|001|13
160510,2,Unknown,,0.1324114,867.46,,1.0980574,,,,5/6/2016,JY-29-198|001|14
160510,2,Unknown,,0.1202157,800.25,,1.0980233,,,,5/6/2016,JY-29-198|001|15
160510,2,Unknown,,0.1208053,803.55,,1.0977472,,,,5/6/2016,JY-29-198|001|16
160510,3,Unknown,,0.1242153,822.25,,1.0980288,,,,5/6/2016,JY-29-198|001|17
160510,3,Unknown,,0.1270819,838.09,,1.0980145,,,,5/6/2016,JY-29-198|001|18
160510,3,Unknown,,0.1340603,876.48,,1.0979276,,,,5/6/2016,JY-29-198|001|19
160510,3,Unknown,,0.1111836,750.53,,1.0978154,,,,5/6/2016,JY-29-198|001|20
160510,3,Unknown,,0.126698,836,,1.0981927,,,,5/6/2016,JY-29-198|001|21
160510,3,Unknown,,0.1317492,863.72,,1.0983467,,,,5/6/2016,JY-29-198|001|22
160510,3,Unknown,,0.2818541,1802.68,,1.0991871,,,,5/9/2016,JY-29-198|001|1
160510,3,Unknown,,0.2527393,1606.22,,1.0983797,,,,5/9/2016,JY-29-198|001|2
160510,4,Unknown,,0.2563385,1629.54,,1.0989231,,,,5/9/2016,JY-29-198|001|3
160510,4,Unknown,,0.2823535,1806.09,,1.0990595,,,,5/9/2016,JY-29-198|001|4
160510,4,Unknown,,0.2851761,1825.34,,1.0989506,,,,5/9/2016,JY-29-198|001|5
160510,4,Unknown,,0.2607176,1658.36,,1.0989055,,,,5/9/2016,JY-29-198|001|6
160510,4,Unknown,,0.270743,1726.78,,1.0990474,,,,5/9/2016,JY-29-198|001|7
160510,4,Unknown,,0.2634929,1677.28,,1.0991508,,,,5/9/2016,JY-29-198|001|8
160510,4,Unknown,,0.263362,1676.4,,1.0991068,,,,5/9/2016,JY-29-198|001|9
160510,4,Unknown,,0.2615679,1664.08,,1.0979221,,,,5/9/2016,JY-29-198|001|10
160510,5,Unknown,,0.2707078,1726.56,,1.098823,,,,5/9/2016,JY-29-198|001|11
160510,5,Unknown,,0.254199,1615.68,,1.0988329,,,,5/9/2016,JY-29-198|001|12
160510,5,Unknown,,0.2881769,1845.91,,1.0989979,,,,5/9/2016,JY-29-198|001|13
160510,5,Unknown,,0.2616196,1664.52,,1.0986041,,,,5/9/2016,JY-29-198|001|14
160510,5,Unknown,,0.2794528,1786.29,,1.0989308,,,,5/9/2016,JY-29-198|001|15
160510,5,Unknown,,0.279961,1789.7,,1.0991662,,,,5/9/2016,JY-29-198|001|16
160510,5,Unknown,,0.2746282,1753.29,,1.098834,,,,5/9/2016,JY-29-198|001|17
160510,5,Unknown,,0.2658557,1693.45,,1.0975778,,,,5/9/2016,JY-29-198|001|18
160510,6,Unknown,,0.2410991,1530.76,,1.0970047,,,,5/9/2016,JY-29-198|001|19
160510,6,Unknown,,0.2567411,1632.07,,1.0975063,,,,5/9/2016,JY-29-198|001|20
160510,6,Unknown,,0.2672637,1703.02,,1.0973479,,,,5/9/2016,JY-29-198|001|21
160510,6,Unknown,,0.2560998,1628,,1.0976064,,,,5/9/2016,JY-29-198|001|22
