R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160620,1,Unknown,,0.1520101,2438.26,,1.0984083,,,,6/15/2016,JY-29-198|002|1
160620,1,Unknown,,0.1562836,2497.11,,1.0986019,,,,6/15/2016,JY-29-198|002|2
160620,1,Unknown,,0.1636976,2599.08,,1.0987174,,,,6/15/2016,JY-29-198|002|3
160620,1,Unknown,,0.1546952,2475.22,,1.0987746,,,,6/15/2016,JY-29-198|002|4
160620,1,Unknown,,0.1499872,2410.43,,1.0984721,,,,6/15/2016,JY-29-198|002|5
160620,1,Unknown,,0.1558029,2490.51,,1.0986305,,,,6/15/2016,JY-29-198|002|6
160620,1,Unknown,,0.1551451,2481.38,,1.0986041,,,,6/15/2016,JY-29-198|002|7
160620,1,Unknown,,0.1409914,2286.57,,1.0985678,,,,6/15/2016,JY-29-198|002|8
160620,2,Unknown,,0.1431782,2316.71,,1.0985062,,,,6/15/2016,JY-29-198|002|9
160620,2,Unknown,,0.167013,2644.73,,1.0986943,,,,6/15/2016,JY-29-198|002|10
160620,2,Unknown,,0.1594472,2540.67,,1.0987163,,,,6/15/2016,JY-29-198|002|11
160620,2,Unknown,,0.1632059,2592.37,,1.098878,,,,6/15/2016,JY-29-198|002|12
160620,2,Unknown,,0.1568688,2505.14,,1.0985117,,,,6/15/2016,JY-29-198|002|13
160620,2,Unknown,,0.1605241,2555.41,,1.098647,,,,6/15/2016,JY-29-198|002|14
160620,2,Unknown,,0.1603448,2552.99,,1.0986712,,,,6/15/2016,JY-29-198|002|15
160620,2,Unknown,,0.1520772,2439.14,,1.0984281,,,,6/15/2016,JY-29-198|002|16
160620,3,Unknown,,0.1615317,2569.27,,1.0986998,,,,6/15/2016,JY-29-198|002|17
160620,3,Unknown,,0.157476,2513.5,,1.0982499,,,,6/15/2016,JY-29-198|002|18
160620,3,Unknown,,0.1611434,2563.99,,1.0985348,,,,6/15/2016,JY-29-198|002|19
160620,3,Unknown,,0.1544257,2471.48,,1.0984633,,,,6/15/2016,JY-29-198|002|20
160620,3,Unknown,,0.1419363,2299.66,,1.0982884,,,,6/15/2016,JY-29-198|002|21
160620,3,Unknown,,0.1566488,2502.17,,1.0986624,,,,6/15/2016,JY-29-198|002|22
160620,3,Unknown,,0.156376,2498.32,,1.0985348,,,,6/15/2016,JY-29-198|002|23
160620,3,Unknown,,0.1489829,2396.57,,1.0983533,,,,6/15/2016,JY-29-198|002|24
160620,4,Unknown,,0.1564827,2499.86,,1.0987977,,,,6/15/2016,JY-29-198|002|25
160620,4,Unknown,,0.1694187,2677.84,,1.0983016,,,,6/15/2016,JY-29-198|002|26
