R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160516,1,Unknown,,0.1572648,2510.64,,1.0983885,,,,5/11/2016,JY-29-198|001|1
160516,1,Unknown,,0.1373262,2236.19,,1.0980915,,,,5/11/2016,JY-29-198|001|2
160516,1,Unknown,,0.1472944,2373.36,,1.0982103,,,,5/11/2016,JY-29-198|001|3
160516,1,Unknown,,0.1441198,2329.69,,1.098416,,,,5/11/2016,JY-29-198|001|4
160516,1,Unknown,,0.1380412,2245.98,,1.0980277,,,,5/11/2016,JY-29-198|001|5
160516,1,Unknown,,0.1465728,2363.46,,1.0981443,,,,5/11/2016,JY-29-198|001|6
160516,1,Unknown,,0.1424786,2307.14,,1.0982895,,,,5/11/2016,JY-29-198|001|7
160516,1,Unknown,,0.1399464,2272.27,,1.0984974,,,,5/11/2016,JY-29-198|001|8
160516,2,Unknown,,0.147829,2380.73,,1.0983808,,,,5/11/2016,JY-29-198|001|9
160516,2,Unknown,,0.1499784,2410.32,,1.0983566,,,,5/11/2016,JY-29-198|001|10
160516,2,Unknown,,0.1556819,2488.86,,1.0982224,,,,5/11/2016,JY-29-198|001|11
160516,2,Unknown,,0.134695,2200,,1.0979606,,,,5/11/2016,JY-29-198|001|12
160516,2,Unknown,,0.1478939,2381.61,,1.0982664,,,,5/11/2016,JY-29-198|001|13
160516,2,Unknown,,0.1507033,2420.33,,1.0980475,,,,5/11/2016,JY-29-198|001|14
160516,2,Unknown,,0.1531398,2453.77,,1.0983522,,,,5/11/2016,JY-29-198|001|15
160516,2,Unknown,,0.1425303,2307.8,,1.0985733,,,,5/11/2016,JY-29-198|001|16
160516,3,Unknown,,0.1406405,2281.84,,1.0981872,,,,5/11/2016,JY-29-198|001|17
160516,3,Unknown,,0.1466982,2365.11,,1.0981289,,,,5/11/2016,JY-29-198|001|18
160516,3,Unknown,,0.155782,2490.18,,1.0982598,,,,5/11/2016,JY-29-198|001|19
160516,3,Unknown,,0.1436248,2322.87,,1.0978814,,,,5/11/2016,JY-29-198|001|20
160516,3,Unknown,,0.14399,2327.93,,1.0979782,,,,5/11/2016,JY-29-198|001|21
160516,3,Unknown,,0.1480358,2383.59,,1.0983962,,,,5/11/2016,JY-29-198|001|22
160516,4,Unknown,,0.1783793,2810.28,,1.0986085,,,,5/13/2016,JY-29-198|001|1
160516,4,Unknown,,0.1821358,2871.22,,1.0986536,,,,5/13/2016,JY-29-198|001|2
160516,4,Unknown,,0.1834624,2892.67,,1.0985799,,,,5/13/2016,JY-29-198|001|3
160516,4,Unknown,,0.192214,3034.57,,1.0984589,,,,5/13/2016,JY-29-198|001|4
160516,4,Unknown,,0.1712018,2702.37,,1.098515,,,,5/13/2016,JY-29-198|001|5
160516,4,Unknown,,0.1897027,2993.76,,1.098603,,,,5/13/2016,JY-29-198|001|6
160516,4,Unknown,,0.1717958,2710.62,,1.0984424,,,,5/13/2016,JY-29-198|001|7
160516,4,Unknown,,0.1495417,2404.27,,1.0986195,,,,5/13/2016,JY-29-198|001|8
160516,5,Unknown,,0.1855667,2926.77,,1.0984171,,,,5/13/2016,JY-29-198|001|9
160516,5,Unknown,,0.1865039,2941.95,,1.0982433,,,,5/13/2016,JY-29-198|001|10
160516,5,Unknown,,0.1954315,3086.71,,1.0986954,,,,5/13/2016,JY-29-198|001|11
160516,5,Unknown,,0.1857515,2929.74,,1.0985161,,,,5/13/2016,JY-29-198|001|12
160516,5,Unknown,,0.1816804,2863.85,,1.0982565,,,,5/13/2016,JY-29-198|001|13
160516,5,Unknown,,0.1872629,2954.27,,1.0987625,,,,5/13/2016,JY-29-198|001|14
160516,5,Unknown,,0.1821578,2871.55,,1.0986305,,,,5/13/2016,JY-29-198|001|15
160516,5,Unknown,,0.1643741,2608.43,,1.0989,,,,5/13/2016,JY-29-198|001|16
160516,6,Unknown,,0.1624227,2581.59,,1.0977395,,,,5/13/2016,JY-29-198|001|17
160516,6,Unknown,,0.1546017,2473.9,,1.0974007,,,,5/13/2016,JY-29-198|001|18
160516,6,Unknown,,0.1665488,2638.35,,1.0982851,,,,5/13/2016,JY-29-198|001|19
160516,6,Unknown,,0.1630904,2590.83,,1.0978154,,,,5/13/2016,JY-29-198|001|20
160516,6,Unknown,,0.184943,2916.65,,1.0966318,,,,5/13/2016,JY-29-198|001|21
160516,6,Unknown,,0.1645039,2610.19,,1.0972775,,,,5/13/2016,JY-29-198|001|22
